title,ingredients_processed,directions,NER,link,vegetarian,gluten_free,nut_free,shellfish_free
Mediterranean Chickpea Wrap,"sea salt. 2 tablespoons olive oil. 1 carrot, peeled and finely diced. 1 onion, diced. 1 bananna pepper. 1 garlic clove, minced. 1 teaspoon ground cumin. 12 teaspoon red pepper flakes. 18 teaspoon ground cayenne pepper. 1 (15 ounce) canchickpeas with liquid. 1 white potato. 5 whole sun-dried tomatoes packed in oil, coarsley chopped. 4 tortillas, toasted. ","Place a large asute pan over medium heat. Sprinkle the bottomwith a pinch of salt and heat for 1 minute. Add the oil and heat for 1 minute. Add the carrot, onion, bananna pepper, and garlic to the pan and saute, stirring frequently, for 5 to 7 minutes, until the vegetables are just beginning to soften. Add the cumin, red pepper, cayenne and black pepper to taste. Saute for 1 minute. Add the chickpeas and their liquid and 1 1/2 cups water. Bring to a boil. Add the potatoand sun dried tomatoes. Simmer 20 minutes or until potatoes are soft. Serve wrappen in the naan bread or tortillas. ",sea salt. olive oil. carrot. onion. pepper. garlic clove. ground cumin. red pepper flakes. ground cayenne pepper. liquid. white potato. sun - dried tomatoes packed in oil. tortillas. ,http://www.food.com/recipe/mediterranean-chickpea-wrap-418176,no,yes,yes,yes
Baked Sesame Potatoes,"4 potatoes, unpeeled. 1 tablespoon sesame oil. black pepper, coarsley ground to taste. salt, to taste. ","Scrub potatoes and cut in half. Rub with sesame oil then sprinkle generously with coarsely ground black pepper and salt. Bake on a baking sheet until tender, turning partway through (about 45 minutes). ",potatoes. sesame oil. black pepper. salt. ,http://www.food.com/recipe/baked-sesame-potatoes-391349,yes,yes,yes,yes
Pineapple-Basil Smoothie,"1/4 cup, tightly packed, basil leaves. 1/4 ripe pineapple, peeled, cored and cut into chunks (about 6 ounces). 3/4 cup plain kefir or yogurt. 1 teaspoon honey. 1 heaped tablespoon pistachios. 1/2 teaspoon chia seeds. 2 or 3 ice cubes. ","Place all of the ingredients in a blender and blend at high speed for 1 minute, or until smooth. Serve. ",basil leaves. pineapple. yogurt. honey. pistachios. chia seeds. ice cubes. ,http://cooking.nytimes.com/recipes/1016292,yes,yes,yes,no
Kentucky Colonel Barbecue Pork Chops (Paula Deen),2 12 cups water. 2 tablespoons brown sugar. 2 tablespoons oil. 14 cup vinegar. 2 12 teaspoons salt. 14 cup chopped onions or 2 tablespoons onion powder. 2 12 teaspoons black pepper. 2 teaspoons Worcestershire sauce. 1 teaspoon dry mustard. 2 teaspoons chili powder. 12 teaspoon hot pepper sauce. 12 teaspoon red pepper. 1 garlic cloves or 1 tablespoon garlic powder. 10 pork chops (1-inch thick). ,"Combine all ingredients except for the pork chops and bring to a rolling boil. Remove from the heat and cool. Refrigerate sauce overnight to blend flavors. Heat a grill to medium-high heat. Apply sauce to chops with dish mop or paint brush. Grill to desired doneness, about 5-8 minutes per side for medium-well. Baste with sauce each time they are turned. Chef's Note: Please note--this is not what you might call a sauce or a glaze--it is a ""mop"". It is thin, but it packs a ton of flavor. ",water. brown sugar. oil. vinegar. salt. onion powder. black pepper. Worcestershire sauce. dry mustard. chili powder. hot pepper sauce. red peppers. garlic clove. pork chops. ,http://www.food.com/recipe/kentucky-colonel-barbecue-pork-chops-paula-deen-137650,no,no,yes,yes
Hoisin Chicken,14 cup hoisin sauce. 2 tablespoons honey. 1 tablespoon rice vinegar. 1 teaspoon sesame oil. 2 teaspoons cornstarch. 2 teaspoons water. 1 pinch salt. 1 pinch garlic powder. 1 pinch ground ginger. 1 pinch five-spice powder. 1 pinch black pepper. 4 boneless skinless chicken breasts. cooking spray. ,"Preheat broiler. combine hoisin, honey, vinegar, sesame oil, in a saucepan, bring to a boil. Combine cornstarch and water and add to mixture, stirring. Cook 1 minute, remove from heat and set aside. mix spices and rub evenly over both sides of chicken. Spray a broiler pan with non stick spray, add chicken, broil 5 minutes. Brush with hoisin mixture and cook for 5 minutes more. turn over and brush with sauce, broil 5 minutes, basting often, until done. ",hoisin sauce. honey. rice vinegar. sesame oil. cornstarch. water. salt. garlic powder. ground ginger. five - spice powder. black pepper. boneless skinless chicken breasts. cooking spray. ,http://www.food.com/recipe/hoisin-chicken-77302,no,yes,yes,yes
Whole-Wheat Cinnamon Rolls with Honey Frosting,"1- 1/2 cup Hot Water. 13 cups Olive Oil. 13 cups Honey. 2 teaspoons Sea Salt. 1 whole Egg. 6 cups Whole Wheat Flour, Divided. 2 Tablespoons Lecithin (optional). 1 Tablespoon Instant Yeast. 1- 1/2 cup Brown Sugar Or Sucanat. 1 Tablespoon Ground Cinnamon. 1 dash Ground Nutmeg. 6 Tablespoons Unsalted Butter, melted. 1 cup Honey Granules. 2 Tablespoons Unsalted Butter, melted. 1/2 teaspoons Pure Vanilla Extract. 2 Tablespoons Milk. ","For the dough: In a large bowl, combine water, oil, honey, salt, and egg with a large wooden spoon. Stir in 2 cups of the flour and the lecithin. Add yeast and enough of the remaining flour (maybe more) to make a soft dough. Knead until smooth and elastic for about 5 minutes, adding more flour if too sticky. Let dough rise, covered in a large bowl, in a draft-free location, until double in size (this could take a couple of hours). Once dough has risen, make the filling by combining sugar, cinnamon, and nutmeg in a small bowl. Add 6 tablespoons of melted butter directly into the bowl with the powder mixture and stir with whisk. Punch down dough and roll out into a 10x15-inch rectangle. Spread with the entire bowl of filling. Roll up the dough, starting with one of the long sides (so roll it up length wise) and cut roll into 12 equal slices. Place the slices, cut sides up, with sides touching, in a greased 13 x 9-inch baking pan. Let it rise again, in a draft-free location, until double in size. (This could take about an hour or more). Bake, uncovered, at 350 degrees F for 25 minutes. While the rolls are baking, make the frosting, by placing the honey granules in a blender. Pulse for a minute or two, then transfer the honey granules to a small bowl and whisk in 2 tablespoons of melted butter. Add vanilla and enough milk to thin to desired consistency. Whisk until smooth. Spread icing on rolls immediately after they come out of oven. *You can also substitute your own favorite cream cheese or powdered sugar frosting! Please note: Weather plays a huge role in the rising of bread. On humid or rainy days, expect your dough to take longer to rise. The lecithin powder is a dough emulsifier made from soybeans, giving the bread a soft, smooth texture. You dont need to use it to make this bread, but it is recommended. Sucanat is a dried sweetener (granule form) made from the juice of sugar cane. It is a healthier substitute for refined brown sugars. The honey granules are a healthier substitute for the refined white sugars. ",hot water. olive oil. honey. sea salt. egg. whole wheat flour. instant yeast. brown sugar. ground cinnamon. ground nutmeg. unsalted butter. honey. unsalted butter. pure vanilla extract. milk. ,http://tastykitchen.com/recipes/breads/whole-wheat-cinnamon-rolls-with-honey-frosting/,yes,no,no,no
German Tomato Soup,"2 pounds ground beef. 4 (10.75 ounce) cans condensed tomato soup. 2 1/2 cups milk. 1 1/8 cups water, or as needed. 6 white potatoes, peeled and sliced 1/4 inch thick. 1 small head cabbage, cored and sliced. 3 carrots, sliced. 1 small onion, chopped. ","Heat a large Dutch oven or soup pot over medium-high heat. Crumble in the ground beef. Cook, stirring frequently, until evenly browned. Drain excess grease. Stir in the cabbage, potatoes, carrots, onion, tomato soup, milk and water. Bring to a boil, then simmer over medium heat for 30 minutes. Reduce heat to low, and cook for 1 1/2 hours before serving. ",ground beef. condensed tomato soup. milk. water. white potatoes. cabbage. carrots. onion. ,http://allrecipes.com/recipe/german-tomato-soup/,yes,no,yes,yes
Apricot Bundt Cake,"1 (18 ounce) box yellow cake mix. 1 (3 ounce) box apricot gelatin. 4 eggs. 34 cup apricot nectar. 34 cup vegetable oil. 1 12 cups powdered sugar. apricot nectar, to form a thin glaze. ","Mix cake mix, Jello, eggs, 3/4 cup nectar and oil with electric mixer. Pour into greased and floured bundt pan. Bake at 350 degrees for 25-30 minutes. Make a glaze by whisking powdered sugar with apricot nectar and pour over warm cake so it can seep into cake. ",yellow cake mix. apricot gelatin. eggs. apricot nectar. vegetable oil. powdered sugar. apricot nectar. ,http://www.food.com/recipe/apricot-bundt-cake-137565,yes,no,yes,no
Chocolate Coated Coconut Flakes,2 cups Coconut Flakes. 2 Tablespoons Coconut Oil. 2 Tablespoons Cocoa Powder. 1 Tablespoon Coconut Nectar. ,"Preheat oven to 300 degrees F and line a 9x13 pan with a Silpat or parchment paper. Coat flakes with coconut oil. Add cocoa powder to coat flakes. Add nectar and mix thoroughly; it will be very sticky. The nectar will clump so make sure that you mix it good. Spread evenly on lined pan and cook for 2025 minutes. Watch carefully as they burn easily. As they cool, they will crisp up a little more. ",coconut flakes. coconut oil. cocoa powder. coconut nectar. ,http://tastykitchen.com/recipes/appetizers-and-snacks/chocolate-coated-coconut-flakes/,no,yes,no,yes
Chicken Pot Pie,12 lb chicken meat (diced into 1/2-inch cubes). 12 cup carrot (diced into 1/2-inch cubes). 12 cup green peas. 12 cup mixed vegetables (your preference of type or just add more carrot or peas). 1 large potato (peeled and diced into 1/2-inch cubes). 2 tablespoons cornstarch (or to desired texture). 1 teaspoon salt (or to taste). 2 chicken bouillon cubes (or 1 can chicken stock). 3 cups water (or to desired texture). 3 cups flour. 23 cup vegetable shortening (cold). 12 cup butter (cold). 1 teaspoon salt (or to taste). 12 teaspoon garlic powder (optional). 1 teaspoon dried onion flakes (optional) or 1 teaspoon onion powder (optional). 4 ice cubes. 2 tablespoons virgin olive oil. 14 cup whole milk. ,"Filling:. Mix water, bouillion cubes, salt, and potato in a sauce pan and boil over medium heat until the potatoes just start to soften. Add vegetables to the pan and boil an additional 5 minutes or so, then reduce heat to simmer and very gradually stir in corn starch. Gauge starch until mixture has a medium gravy texture or as you would desire for pie filling. Finally, add meat and simmer without stirring while you make the crust. Either add water or corn starch to adjust texture if necessary. Crust:. In a large mixing bowl, blend flour, salt, and garlic/onion (if used). Dice vegetable shortening and butter to small pieces and distribute evenly in flour. Either cut in or with an electric mixer, mix shortening and butter into flour to obtain a flaky granular mixture. With a large spoon, break ice cubes in your hand and distribute the chips throughout the flour mixture. Blend ice in until fully incorporated and melted into the flour. Split the mixture into 2 sections sufficient to make a crust and covering. Flour a flat surface and roll sections with a floured rolling pin until good size for pie pan and cover. For a nice touch, slice the cover section into 1"" strips to make a weave or criss-cross patterned top. Preheat oven to 350F. Lightly grease a pie tin (or dish) and form the pie crust into the tin, leaving loose edges all the way around the tin. Rub the olive oil inside the entire crust as it sits in the tin. Recheck the consistency of the filling and adjust as necessary. Pour the filling into the pie crust, leaving enough room to add the covering. Lay a full covering (or weave strips) of crust across the top of the pie. Pinch the edges where the upper and lower crust meet to form a seal all the way around the pie. Once sealed, trim excess crust to edge of pie tin. Knife holes into the crust cover to relieve pressure during cooking. Brush milk thoroughlly and generously across entire upper crust of pie, then place in oven. Cook for about 30 minutes or until crust is golden brown. ",chicken meat. carrots. green peas. mixed vegetables. potato. cornstarch. salt. chicken bouillon cubes. water. flour. vegetable shortening. butter. salt. garlic powder. dried onion flakes. ice cubes. virgin olive oil. whole milk. ,http://www.food.com/recipe/chicken-pot-pie-127109,yes,yes,no,no
