Produce Item,Discount Coupon
Quinoa 1 lb bag,$2.00
Cucumber Long Seedless,$1.50
Millet 1 lb bag,$2.00
Kidney Beans 1 lb bag,$2.00
White Mushrooms Sliced 8 oz,$1.00
Teff 1 lb bag,$1.00
Sorghum 1 lb bag,$1.00
Watermelon Seedless Mini,$1.50
Teff 1 lb bag,$0.50
Cucumber Long Seedless,$2.00
Basmati Rice 1 lb bag,$1.00
Red Bell Peppers 4-pack,$0.50
Basmati Rice 1 lb bag,$1.00
Sunflower Seeds 1 lb,$2.00
Green Cabbage 1 head,$0.50
Figs Fresh 1 lb,$0.50
Almonds Raw 1 lb,$0.50
Soybeans 1 lb bag,$2.00
Kiwi 1 lb,$1.00
Organic Bananas 1 lb,$1.00
Red Beans 1 lb bag,$1.00
Ripe Hass Avocados 6-pack,$2.00
Red Bell Peppers 4-pack,$1.50
Figs Fresh 1 lb,$1.00
Asparagus 1 lb bundle,$0.50
Brown Rice 1 lb bag,$1.00
Black Beans 1 lb bag,$0.50
Black Beans 1 lb bag,$1.50
Blackberries 6 oz,$0.50
Peaches 1 lb,$1.50
Brown Rice 1 lb bag,$2.00
Jasmine Rice 1 lb bag,$0.50
Lemons 5-pack,$1.00
Cucumber Long Seedless,$1.50
Barley 1 lb bag,$0.50
Raisins 1 lb box,$2.00
Spelt 1 lb bag,$2.00
Honeydew Melon 1 each,$0.50
Organic Bananas 1 lb,$2.00
Pineapple Whole,$1.00
Teff 1 lb bag,$1.50
Papaya 1 each,$2.00
Watermelon Seedless Mini,$2.00
Green Cabbage 1 head,$2.00
Black Rice 1 lb bag,$1.50
Cherry Tomatoes 1 lb,$1.00
Peaches 1 lb,$0.50
Oatmeal 1 lb bag,$1.50
Ripe Hass Avocados 6-pack,$1.50
Grapefruit 1 each,$0.50
Fava Beans 1 lb bag,$1.50
Walnuts 1 lb bag,$2.00
Prunes 1 lb box,$2.00
Chickpeas 1 lb bag,$0.50
Organic Strawberries 1 lb,$0.50
Pistachios 1 lb bag,$1.50
Asparagus 1 lb bundle,$1.00
Basmati Rice 1 lb bag,$1.50
Sweet Corn 4-pack,$1.00
Amaranth 1 lb bag,$0.50
Barley 1 lb bag,$1.50
Polenta 1 lb bag,$1.00
Pineapple Whole,$0.50
Walnuts 1 lb bag,$1.50
Quinoa 1 lb bag,$2.00
Sweet Potatoes 5 lb bag,$2.00
Grapefruit 1 each,$2.00
Parsley Flat Leaf Bunch,$2.00
Sweet Potatoes 5 lb bag,$1.50
Yellow Onions 3 lb bag,$1.00
Oatmeal 1 lb bag,$2.00
Organic Strawberries 1 lb,$1.50
Spelt 1 lb bag,$1.50
Red Seedless Grapes 2 lb,$0.50
Kiwi 1 lb,$0.50
Cantaloupe 1 each,$1.50
Pumpkin Seeds 1 lb,$2.00
Tangerines 1 lb,$1.50
Cherries 1 lb,$1.00
Sweet Potatoes 5 lb bag,$2.00
Kidney Beans 1 lb bag,$0.50
White Beans 1 lb bag,$1.50
Medjool Dates 1 lb,$1.50
Asparagus 1 lb bundle,$2.00
Chickpeas 1 lb bag,$1.00
Fava Beans 1 lb bag,$1.50
Red Beans 1 lb bag,$0.50
Peanuts 1 lb bag,$1.00
Celery Organic 1 stalk,$1.50
Brown Rice 1 lb bag,$0.50
Macadamia Nuts 1 lb,$1.00
Pumpkin Seeds 1 lb,$2.00
Basmati Rice 1 lb bag,$2.00
Sweet Potatoes 5 lb bag,$1.00
Soybeans 1 lb bag,$2.00
White Mushrooms Sliced 8 oz,$1.00
Cauliflower 1 head,$1.50
Organic Strawberries 1 lb,$0.50
Asparagus 1 lb bundle,$1.50
Blueberries Fresh 1 pint,$1.50
